,PlayerId,Name,Team,Catcher,First Base,Second Base,Third Base,Shortstop,Left Field,Center Field,Right Field,Designated Hitter,H,AB,R,2B,3B,HR,XBH,RBI,BB,SB,AVG,OBP,SLG
38,3859,Didi Gregorius,NYY,,,,,1,,,,,118.0,464.0,64.0,19.0,5.0,8.0,32.0,42.0,40.0,4.0,0.254,0.321,0.369
39,3895,Juan Lagares,NYM,,,,,,,1,,,144.0,555.0,60.0,29.0,5.0,6.0,40.0,51.0,28.0,17.0,0.259,0.3,0.362
40,4631,C.J. Cron,LAA,,1,,,,,,,1,97.0,373.0,44.0,21.0,1.0,15.0,37.0,56.0,17.0,3.0,0.26,0.303,0.442
41,5300,Jose Ramirez,Cle,,,,,1,,,,,82.0,306.0,42.0,13.0,2.0,3.0,18.0,25.0,20.0,20.0,0.268,0.311,0.353
42,2820,Mike Moustakas,KC,,,,1,,,,,,118.0,495.0,51.0,27.0,1.0,16.0,44.0,55.0,36.0,2.0,0.238,0.293,0.394
43,2222,Jon Jay,StL,,,,,,1,1,1,,85.0,296.0,39.0,13.0,2.0,3.0,18.0,31.0,22.0,6.0,0.287,0.358,0.375
44,1346,James Loney,TB,,1,,,,,,,,157.0,549.0,52.0,26.0,0.0,9.0,35.0,62.0,39.0,3.0,0.286,0.333,0.383
45,3093,Jordy Mercer,Pit,,,,,1,,,,,131.0,504.0,53.0,29.0,2.0,11.0,42.0,51.0,35.0,5.0,0.26,0.312,0.391
46,3000,Derek Norris,SD,1,,,,,,,,,100.0,398.0,52.0,19.0,2.0,10.0,31.0,52.0,55.0,5.0,0.251,0.343,0.384
47,2745,Allen Craig,Bos,,1,,,,,,1,,105.0,391.0,48.0,22.0,1.0,11.0,34.0,56.0,31.0,2.0,0.269,0.329,0.414
48,1123,Kendrys Morales,KC,,1,,,,,,,1,126.0,485.0,53.0,28.0,0.0,17.0,45.0,61.0,36.0,0.0,0.26,0.314,0.423
49,2061,Luis Valbuena,Hou,,,1,1,,,,,,91.0,371.0,49.0,23.0,2.0,13.0,38.0,40.0,52.0,1.0,0.245,0.34,0.423
0,806,Omar Infante,KC,,,1.0,,,,,,,142.0,533.0,56.0,24.0,4.0,9.0,37.0,58.0,28.0,9.0,0.266,0.301,0.377
1,2697,Dustin Ackley,Sea,,,,,,1,,,,136.0,538.0,70.0,27.0,3.0,12.0,42.0,57.0,45.0,7.0,0.253,0.313,0.381
2,3188,DJ LeMahieu,Col,,,1,,,,,,,147.0,527.0,64.0,21.0,6.0,4.0,31.0,45.0,32.0,16.0,0.279,0.32,0.364
3,2838,Brandon Crawford,SF,,,,,1.0,,,,,124.0,501.0,54.0,23.0,9.0,9.0,41.0,58.0,52.0,3.0,0.248,0.318,0.383
4,2430,Everth Cabrera,Bal,,,,,1.0,,,,,61.0,245.0,29.0,10.0,1.0,2.0,13.0,15.0,20.0,19.0,0.249,0.306,0.322
5,1204,Stephen Drew,NYY,,,1,,1.0,,,,,85.0,388.0,42.0,20.0,2.0,13.0,35.0,46.0,44.0,3.0,0.219,0.297,0.381
6,4461,Jonathan Schoop,Bal,,,1,,,,,,,111.0,505.0,56.0,21.0,0.0,18.0,39.0,53.0,21.0,2.0,0.22,0.263,0.368
7,2224,David Freese,LAA,,,,1.0,,,,,,127.0,482.0,57.0,25.0,1.0,12.0,38.0,59.0,43.0,1.0,0.263,0.33,0.394
8,1605,Jarrod Saltalamacchia,Mia,1,,,,,,,,,96.0,414.0,54.0,24.0,0.0,15.0,39.0,51.0,53.0,1.0,0.232,0.318,0.399
9,2060,Casey McGehee,SF,,,,1,,,,,,146.0,563.0,52.0,24.0,1.0,6.0,31.0,63.0,62.0,3.0,0.259,0.33,0.337
10,5436,Devon Travis,Tor,,,1,,,,,,,97.0,379.0,56.0,18.0,6.0,8.0,32.0,42.0,28.0,13.0,0.256,0.308,0.398
11,3510,Anthony Gose,Det,,,,,,,1.0,,,84.0,365.0,53.0,10.0,7.0,4.0,21.0,28.0,30.0,23.0,0.23,0.297,0.329
12,197,Derek Jeter,NYY,,,,,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,848,Shane Victorino,Bos,,,,,,,,1.0,,94.0,349.0,49.0,19.0,3.0,7.0,29.0,35.0,21.0,15.0,0.269,0.322,0.401
14,1728,Kurt Suzuki,Min,1,,,,,,,,,106.0,395.0,34.0,26.0,0.0,4.0,30.0,46.0,28.0,1.0,0.268,0.322,0.365
15,3024,Wilmer Flores,NYM,,,,,1,,,,,73.0,276.0,35.0,15.0,1.0,8.0,24.0,42.0,14.0,1.0,0.264,0.299,0.413
16,5366,Odubel Herrera,Phi,,,,,1,,,,,84.0,351.0,32.0,11.0,3.0,1.0,15.0,30.0,17.0,10.0,0.239,0.277,0.296
17,1885,Colby Rasmus,Hou,,,,,,,1,,,89.0,374.0,48.0,17.0,2.0,18.0,37.0,47.0,33.0,3.0,0.238,0.302,0.439
18,4697,Michael Taylor,Wsh,,,,,,,1,,,41.0,168.0,26.0,6.0,0.0,6.0,12.0,19.0,17.0,11.0,0.244,0.321,0.387
19,2711,Jose Iglesias,Det,,,,,1,,,,,120.0,478.0,54.0,15.0,2.0,5.0,22.0,36.0,26.0,11.0,0.251,0.301,0.322
20,3310,Chris Owings,Ari,,,,,1,,,,,101.0,391.0,51.0,18.0,5.0,6.0,29.0,36.0,16.0,11.0,0.258,0.29,0.376
21,5601,Alex Guerrero,LAD,,,1,,,,,,,41.0,154.0,19.0,7.0,2.0,7.0,16.0,23.0,5.0,2.0,0.266,0.301,0.474
22,3285,Brock Holt,Bos,,,,1,,,,1,,45.0,162.0,22.0,9.0,2.0,2.0,13.0,13.0,13.0,5.0,0.278,0.335,0.395
23,4683,Brad Miller,Sea,,,,,1,,,,,99.0,414.0,56.0,16.0,5.0,11.0,32.0,46.0,40.0,6.0,0.239,0.307,0.382
24,5359,Billy Burns,Oak,,,,,,,1,,,27.0,120.0,17.0,5.0,1.0,0.0,6.0,6.0,11.0,12.0,0.225,0.293,0.283
25,2689,Michael Saunders*,Tor,,,,,,,,1,,101.0,382.0,61.0,25.0,4.0,15.0,44.0,51.0,46.0,10.0,0.264,0.34,0.469
26,1376,Carlos Ruiz,Phi,1,,,,,,,,,106.0,392.0,45.0,27.0,1.0,8.0,36.0,41.0,38.0,3.0,0.27,0.351,0.406
27,4958,Jose Peraza,Atl,,,1,,,,,,,84.0,302.0,45.0,9.0,3.0,1.0,13.0,22.0,8.0,27.0,0.278,0.301,0.338
28,5150,Byron Buxton,Min,,,,,,,1,,,40.0,155.0,25.0,6.0,4.0,5.0,15.0,17.0,16.0,7.0,0.258,0.333,0.445
29,2089,Francisco Cervelli,Pit,1,,,,,,,,,87.0,353.0,42.0,20.0,2.0,3.0,25.0,31.0,31.0,3.0,0.246,0.33,0.34
30,3494,Stephen Vogt,Oak,,1.0,,,,,,,,99.0,362.0,45.0,17.0,4.0,10.0,31.0,48.0,28.0,1.0,0.273,0.325,0.425
31,3690,Mike Olt,ChC,,,,1,,,,,,44.0,213.0,26.0,10.0,0.0,10.0,20.0,31.0,23.0,1.0,0.207,0.286,0.394
32,5890,David Peralta,Ari,,,,,,1,,1,,123.0,444.0,57.0,23.0,9.0,10.0,42.0,62.0,24.0,6.0,0.277,0.317,0.437
33,2212,Chris Johnson,Atl,,,,1,,,,,,155.0,580.0,48.0,30.0,1.0,11.0,42.0,62.0,27.0,4.0,0.267,0.302,0.379
34,1663,Alejandro De Aza,Bal,,,,,,1,,,,121.0,448.0,59.0,23.0,5.0,9.0,37.0,41.0,35.0,17.0,0.27,0.329,0.404
35,2822,Jarrod Dyson,KC,,,,,,,1,,,53.0,216.0,30.0,5.0,4.0,1.0,10.0,15.0,19.0,28.0,0.245,0.308,0.319
36,4605,Francisco Lindor,Cle,,,,,1,,,,,86.0,346.0,45.0,10.0,2.0,6.0,18.0,36.0,28.0,17.0,0.249,0.304,0.341
